Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,FS55X226K500EHG,Cap_MLCC_50V_22uF_X7R_2220_C784103,42.33,72.245,-90,top
C2,CC0603KRX7R9BB104,MLCC_Yageo_50V_100nF_X7R_±10%_0603_C14663,37.43,76.065,180,top
C3,"470uF, 35V",CAP_EEHZS1V471P,107.5,35.1,90,top
C4,GCM155R71C104KA55J,CAPC1005X55N,33.93,70.745,-90,top
C5,"0.1uF, 16V",CAPC1005X55N,38.975,57.535,90,top
C6,FS55X226K500EHG,Cap_MLCC_50V_22uF_X7R_2220_C784103,28.43,72.165,180,top
C7,CGA2B3X7R1V104KT0Y0F,C0402_L1.0-W0.5-H0.5,63,45.8,90,top
C8,CGA2B3X7R1V104KT0Y0F,C0402_L1.0-W0.5-H0.5,63.5,9.4,90,top
C9,RVT1V101M0605,Capacitor_100uF_35V_75mA@120Hz_±20%_D6pt3xL5pt4mm_C3151830,67.9,50.5,90,top
C10,RVT1V101M0605,Capacitor_100uF_35V_75mA@120Hz_±20%_D6pt3xL5pt4mm_C3151830,119,14,90,top
C11,CGA2B3X7R1V104KT0Y0F,C0402_L1.0-W0.5-H0.5,88.6,45.9,90,top
C12,CGA2B3X7R1V104KT0Y0F,C0402_L1.0-W0.5-H0.5,88.7,9.35,90,top
C13,RVT1V101M0605,Capacitor_100uF_35V_75mA@120Hz_±20%_D6pt3xL5pt4mm_C3151830,93.6,50.6,90,top
C14,RVT1V101M0605,Capacitor_100uF_35V_75mA@120Hz_±20%_D6pt3xL5pt4mm_C3151830,93.6,14.15,90,top
C15,CGA2B3X7R1V104KT0Y0F,C0402_L1.0-W0.5-H0.5,114.15,45.9,90,top
C16,CGA2B3X7R1V104KT0Y0F,C0402_L1.0-W0.5-H0.5,114.375,9.5,90,top
C17,RVT1V101M0605,Capacitor_100uF_35V_75mA@120Hz_±20%_D6pt3xL5pt4mm_C3151830,119,50.8,90,top
C18,RVT1V101M0605,Capacitor_100uF_35V_75mA@120Hz_±20%_D6pt3xL5pt4mm_C3151830,68.1,14.1,90,top
C19,CGA2B3X7R1V104KT0Y0F,C0402_L1.0-W0.5-H0.5,26.9025,66.175,180,top
C20,CGA2B3X7R1V104KT0Y0F,C0402_L1.0-W0.5-H0.5,26.245,60.175,180,top
D2,BZT52C5V6S_C19077441,SOD-323_L1.7-W1.3-LS2.6-RD,29.9275,63.625,180,top
F1,0ZCJ0020FF2E,F1206,30.985,66.325,180,top
FPC1,AFC01-S12FCA-00,FFC_conn_Flip type_12P_P=0.5mm_C262661,6.3175,50.7,-90,top
J1,Conn_01x04_Female,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,62.2,70.1,0,top
J2,Conn_01x02_Female,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,113.7,70,0,top
J3,Conn_01x02_Female,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,123.55,70.025,0,top
J5,Conn_01x04_Female,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,11.1,68.9,180,top
J6,Conn_01x04_Female,JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,4.75,25.1,0,top
J7,Conn_01x04_Female,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,85.9,70.1,0,top
J8,Conn_01x02_Female,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,7.25,5.1,0,top
J13,Conn_01x04_Female,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,74,70.1,0,top
JM1,Conn_01x04_Female,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,55.5,57.1,-90,top
JM2,Conn_01x04_Female,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,81.325,57.15,-90,top
JM3,Conn_01x04_Female,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,106.725,57.25,-90,top
JM4,Conn_01x04_Female,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,55.725,20.75,-90,top
JM5,Conn_01x04_Female,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,81.025,20.8,-90,top
JM6,Conn_01x04_Female,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,106.5,20.75,-90,top
L1,FTC252012S100MBCA,Inductor_10uH_1pt6A_2x2pt5mm_C5832376,34.33,75.145,-90,top
LED1,Green,LEDC1608X80N,47.75,68.7,90,top
Q1,MAC97A8-23-3L,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BL-A,30.22,60.15,-90,top
R1,"5kR, 0.25W",RESC3116X65N,47.1175,73.345,90,top
R2,"10kR, 100mW",RESC1607X60N,44.9,49.6,180,top
R3,RC0402FR-07100KL,Resistor_ 100kΩ_62.5mW_50V_0402_C60491,37.23,73.945,0,top
R4,RC0402FR-07100KL,Resistor_ 100kΩ_62.5mW_50V_0402_C60491,35.2475,66.28,0,top
R5,FRC0805F1902TS,Resistor_19kΩ_0.125W_150V_0805_C2930177,38.7475,66.1,0,top
R6,"33R, 0.1W",RESC1608X55N,38.2,47.1,180,top
R7,"33R, 0.1W",RESC1608X55N,14.8,34.4,180,top
R8,RC0402FR-07100KL,Resistor_ 100kΩ_62.5mW_50V_0402_C60491,46.8,41.6,0,top
R9,0402WGF2000TCE,R0402,73.45,41.7,180,top
R10,0402WGF2000TCE,R0402,99.075,41.6,180,top
R11,0402WGF2000TCE,R0402,124.45,41.925,180,top
R12,0402WGF2000TCE,R0402,73.65,5.175,180,top
R13,0402WGF2000TCE,R0402,99.125,5.525,180,top
R14,0402WGF2000TCE,R0402,124.575,5.3,180,top
R15,RC0402FR-07100KL,Resistor_ 100kΩ_62.5mW_50V_0402_C60491,46.8,39,0,top
R16,RC0402FR-07100KL,Resistor_ 100kΩ_62.5mW_50V_0402_C60491,46.8,36.5,0,top
R17,RC0402FR-07100KL,Resistor_ 100kΩ_62.5mW_50V_0402_C60491,46.8,33.9,0,top
R18,RC0402FR-07100KL,Resistor_ 100kΩ_62.5mW_50V_0402_C60491,46.8,31.4,0,top
R19,RC0402FR-07100KL,Resistor_ 100kΩ_62.5mW_50V_0402_C60491,46.8,28.9,0,top
R20,"1kR, 0.25W",RESC3116X65N,25.315,63.625,180,top
R21,"1kR, 0.25W",RESC3116X65N,29.495,56.5,180,top
R26,"33R, 0.1W",RESC1608X55N,14.8,49.6,180,top
R27,"33R, 0.1W",RESC1608X55N,14.8,47.1,180,top
R28,"33R, 0.1W",RESC1608X55N,14.8,44.5,180,top
R29,"33R, 0.1W",RESC1608X55N,14.8,42,180,top
R30,"33R, 0.1W",RESC1608X55N,14.8,39.5,180,top
R31,"33R, 0.1W",RESC1608X55N,14.8,36.9,180,top
R32,"33R, 0.1W",RESC1608X55N,38.2,52.2,180,top
R33,"5kR, 0.25W",RESC3116X65N,9.3,64.12,90,top
R34,"5kR, 0.25W",RESC3116X65N,6.9,64.12,90,top
SW1,DSWB06LHGET,6_SPST_Through_Hole_DIP_C99416,53.6,35.2,90,top
U1,TP6841S6-A,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,36.73,70.845,0,top
U2,XL-1608UBC-06A,Blue_LED_5mA_456nm~476nm_130°_2.6V~3V_0603_C7371904,25.345,56.45,0,top
U4,XT30UPB-M,XT30UPB-M,120.5,33.5,0,top
U5,XL-1608UBC-06A,Blue_LED_5mA_456nm~476nm_130°_2.6V~3V_0603_C7371904,70.025,41.7,0,top
U6,XL-1608UBC-06A,Blue_LED_5mA_456nm~476nm_130°_2.6V~3V_0603_C7371904,95.8,41.6,0,top
U7,XL-1608UBC-06A,Blue_LED_5mA_456nm~476nm_130°_2.6V~3V_0603_C7371904,121.175,41.925,0,top
U8,XL-1608UBC-06A,Blue_LED_5mA_456nm~476nm_130°_2.6V~3V_0603_C7371904,70.15,5.175,0,top
U9,XL-1608UBC-06A,Blue_LED_5mA_456nm~476nm_130°_2.6V~3V_0603_C7371904,95.825,5.525,0,top
U10,XL-1608UBC-06A,Blue_LED_5mA_456nm~476nm_130°_2.6V~3V_0603_C7371904,121.175,5.3,0,top
